SerialNo,fileName
00﻿Seria,device not found in Vision DB
0018111155,No FOTA files available for this device
0018090944,No FOTA files available for this device
0018111046,No FOTA files available for this device
0018070761,No FOTA files available for this device
0018111119,No FOTA files available for this device
0018040247,No FOTA files available for this device
0018090915,No FOTA files available for this device
0018040032,No FOTA files available for this device
0018040408,No FOTA files available for this device
0018090881,No FOTA files available for this device
0018040151,No FOTA files available for this device
0018040178,No FOTA files available for this device
0018070593,No FOTA files available for this device
0018111174,No FOTA files available for this device
0018070793,No FOTA files available for this device
0018090928,No FOTA files available for this device
0018040383,No FOTA files available for this device
0018090811,No FOTA files available for this device
0018040257,No FOTA files available for this device
0018090828,No FOTA files available for this device
0018070594,No FOTA files available for this device
0018070513,No FOTA files available for this device
0018111135,No FOTA files available for this device
0018111213,No FOTA files available for this device
0018040376,No FOTA files available for this device
0018090882,No FOTA files available for this device
0018111102,No FOTA files available for this device
0018040399,No FOTA files available for this device
0018040387,No FOTA files available for this device
0018111171,No FOTA files available for this device
0018111032,No FOTA files available for this device
0018090857,No FOTA files available for this device
0018040298,No FOTA files available for this device
0018040072,No FOTA files available for this device
0018070672,No FOTA files available for this device
0018040351,No FOTA files available for this device
0018090911,No FOTA files available for this device
0018040021,No FOTA files available for this device
0018070518,No FOTA files available for this device
0018090854,No FOTA files available for this device
0018070436,No FOTA files available for this device
0018070765,No FOTA files available for this device
0018070799,No FOTA files available for this device
0018070497,No FOTA files available for this device
0018040208,No FOTA files available for this device
0018070741,No FOTA files available for this device
0018111146,No FOTA files available for this device
0018070745,No FOTA files available for this device
0018070771,No FOTA files available for this device
0018040055,No FOTA files available for this device
0018070590,No FOTA files available for this device
0018040279,No FOTA files available for this device
0018090980,No FOTA files available for this device
0018070481,No FOTA files available for this device
0018070538,No FOTA files available for this device
0018111063,No FOTA files available for this device
0018040238,No FOTA files available for this device
0018070596,No FOTA files available for this device
0018040244,No FOTA files available for this device
0018040335,No FOTA files available for this device
0018040144,No FOTA files available for this device
0018090920,No FOTA files available for this device
0018111111,No FOTA files available for this device
0018040189,No FOTA files available for this device
0018040392,No FOTA files available for this device
0018111159,No FOTA files available for this device
0018111035,No FOTA files available for this device
0018040313,No FOTA files available for this device
0018040089,No FOTA files available for this device
0018040054,No FOTA files available for this device
0018070732,No FOTA files available for this device
0018070456,No FOTA files available for this device
0018070557,No FOTA files available for this device
0018111129,No FOTA files available for this device
0018040353,No FOTA files available for this device
0018070516,No FOTA files available for this device
0018090979,No FOTA files available for this device
0018040184,No FOTA files available for this device
0018090903,No FOTA files available for this device
0018090855,No FOTA files available for this device
0018040289,No FOTA files available for this device
0018040071,No FOTA files available for this device
0018040406,No FOTA files available for this device
0018090935,No FOTA files available for this device
0018040402,No FOTA files available for this device
0018040404,No FOTA files available for this device
0018111073,No FOTA files available for this device
0018090868,No FOTA files available for this device
0018090975,No FOTA files available for this device
0018070772,No FOTA files available for this device
0018040138,No FOTA files available for this device
0018040271,No FOTA files available for this device
0018111172,No FOTA files available for this device
0018111156,No FOTA files available for this device
0018090999,No FOTA files available for this device
0018111173,No FOTA files available for this device
0018040159,No FOTA files available for this device
0018070480,No FOTA files available for this device
0018070496,No FOTA files available for this device
0018070721,No FOTA files available for this device
0018070707,No FOTA files available for this device
0018040101,No FOTA files available for this device
0018111170,No FOTA files available for this device
0018040295,No FOTA files available for this device
0018111047,No FOTA files available for this device
0018040215,No FOTA files available for this device
0018090888,No FOTA files available for this device
0018040317,No FOTA files available for this device
0018040190,No FOTA files available for this device
0018090996,No FOTA files available for this device
0018070742,No FOTA files available for this device
0018090914,No FOTA files available for this device
