,Total no of devices visible in server,1157,,,,,
,Total no of devices completed the download,920,,,,,
,Total no of devices remains pending,237,,,,,
,,,,,,Below mentioned serial numbers are part of pending serial numbers as well.,
,,,,,,,
,,,,,,,
S.No,Pending Serial Numbers,Pending Files,,,,S.No,Invisible Serial Numbers
165,18040228,ASD_OTA-SW_v1.1.tar.gz,,,,165,18010006
166,18040224,ASD_OTA-SW_v1.1.tar.gz,,,,166,18070502
167,18040062,ASD_OTA-SW_v1.1.tar.gz,,,,167,18070568
168,18040160,ASD_OTA-SW_v1.1.tar.gz,,,,168,18070699
169,18111212,ASD_OTA-SW_v1.1.tar.gz,,,,169,18070808
170,18040197,ASD_OTA-SW_v1.1.tar.gz,,,,170,18070624
171,18040303,ASD_OTA-SW_v1.1.tar.gz,,,,171,18111203
172,18040196,ASD_OTA-SW_v1.1.tar.gz,,,,172,18070691
173,18040352,ASD_OTA-SW_v1.1.tar.gz,,,,,
174,18040281,ASD_OTA-SW_v1.1.tar.gz,,,,,
175,18090991,ASD_OTA-SW_v1.1.tar.gz,,,,,
176,18070572,ASD_OTA-SW_v1.1.tar.gz,,,,,
177,18091019,ASD_OTA-SW_v1.1.tar.gz,,,,,
178,18070659,ASD_OTA-SW_v1.1.tar.gz,,,,,
179,18090839,ASD_OTA-SW_v1.1.tar.gz,,,,,
180,18090831,ASD_OTA-SW_v1.1.tar.gz,,,,,
181,18090849,ASD_OTA-SW_v1.1.tar.gz,,,,,
182,18090837,ASD_OTA-SW_v1.1.tar.gz,,,,,
183,18111058,ASD_OTA-SW_v1.1.tar.gz,,,,,
184,18111031,ASD_OTA-SW_v1.1.tar.gz,,,,,
185,18111042,ASD_OTA-SW_v1.1.tar.gz,,,,,
186,18040276,ASD_OTA-SW_v1.1.tar.gz,,,,,
187,18040170,ASD_OTA-SW_v1.1.tar.gz,,,,,
188,18111099,ASD_OTA-SW_v1.1.tar.gz,,,,,
189,18070619,ASD_OTA-SW_v1.1.tar.gz,,,,,
190,18040109,ASD_OTA-SW_v1.1.tar.gz,,,,,
191,18070626,ASD_OTA-SW_v1.1.tar.gz,,,,,
192,18070500,ASD_OTA-SW_v1.1.tar.gz,,,,,
193,18070777,ASD_OTA-SW_v1.1.tar.gz,,,,,
194,18111177,ASD_OTA-SW_v1.1.tar.gz,,,,,
195,18111192,ASD_OTA-SW_v1.1.tar.gz,,,,,
196,18111200,ASD_OTA-SW_v1.1.tar.gz,,,,,
197,18040025,ASD_OTA-SW_v1.1.tar.gz,,,,,
198,18040274,ASD_OTA-SW_v1.1.tar.gz,,,,,
199,18070608,ASD_OTA-SW_v1.1.tar.gz,,,,,
200,18070709,ASD_OTA-SW_v1.1.tar.gz,,,,,
201,18070791,ASD_OTA-SW_v1.1.tar.gz,,,,,
202,18111122,ASD_OTA-SW_v1.1.tar.gz,,,,,
203,18111138,ASD_OTA-SW_v1.1.tar.gz,,,,,
204,18111149,ASD_OTA-SW_v1.1.tar.gz,,,,,
205,18111150,ASD_OTA-SW_v1.1.tar.gz,,,,,
206,18111168,ASD_OTA-SW_v1.1.tar.gz,,,,,
207,18111180,ASD_OTA-SW_v1.1.tar.gz,,,,,
208,18090908,ASD_OTA-SW_v1.1.tar.gz,,,,,
209,18111132,ASD_OTA-SW_v1.1.tar.gz,,,,,
210,18111165,ASD_OTA-SW_v1.1.tar.gz,,,,,
211,18111163,ASD_OTA-SW_v1.1.tar.gz,,,,,
212,18090977,ASD_OTA-SW_v1.1.tar.gz,,,,,
213,18111162,ASD_OTA-SW_v1.1.tar.gz,,,,,
214,18040059,ASD_OTA-SW_v1.1.tar.gz,,,,,
215,18090907,ASD_OTA-SW_v1.1.tar.gz,,,,,
216,18070410,ASD_OTA-SW_v1.0.tar.gz,,,,,
217,18070424,ASD_OTA-SW_v1.0.tar.gz,,,,,
218,18070700,ASD_OTA-SW_v1.0.tar.gz,,,,,
219,18070555,ASD_OTA-SW_v1.0.tar.gz,,,,,
220,18070645,ASD_OTA-SW_v1.0.tar.gz,,,,,
221,18070649,ASD_OTA-SW_v1.0.tar.gz,,,,,
222,18070756,ASD_OTA-SW_v1.0.tar.gz,,,,,
223,18070451,ASD_OTA-SW_v1.0.tar.gz,,,,,
224,18070534,ASD_OTA-SW_v1.0.tar.gz,,,,,
225,18070438,ASD_OTA-SW_v1.0.tar.gz,,,,,
226,18111222,ASD_OTA-SW_v1.0.tar.gz,,,,,
227,18070692,ASD_OTA-SW_v1.0.tar.gz,,,,,
228,18070421,ASD_OTA-SW_v1.0.tar.gz,,,,,
229,18070677,ASD_OTA-SW_v1.0.tar.gz,,,,,
230,18010006,ASD_OTA-SW_v1.0.tar.gz,,,,,
231,18070502,ASD_OTA-SW_v1.0.tar.gz,,,,,
232,18070568,ASD_OTA-SW_v1.0.tar.gz,,,,,
233,18070699,ASD_OTA-SW_v1.0.tar.gz,,,,,
234,18070808,ASD_OTA-SW_v1.0.tar.gz,,,,,
235,18070624,ASD_OTA-SW_v1.0.tar.gz,,,,,
236,18111203,ASD_OTA-SW_v1.0.tar.gz,,,,,
237,18070691,ASD_OTA-SW_v1.0.tar.gz,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
