"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation"
"218","0.500034","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"219","0.124516","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"220","0.198889","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"221","0.176629","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"222","0.500641","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"223","0.122048","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"224","0.199995","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"225","0.177254","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"226","0.500148","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"227","0.122027","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"228","0.200124","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"229","0.177632","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"230","0.500045","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"231","0.121910","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"232","0.200017","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"233","0.178246","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"234","0.500494","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"235","0.121426","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"236","0.199771","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"237","0.178254","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"238","0.500629","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"239","0.122141","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"240","0.198895","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"241","0.178365","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"242","0.499806","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"243","0.122014","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"244","0.200149","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"245","0.177982","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"246","0.500025","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"247","0.121681","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"248","0.200104","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"249","0.178255","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"250","0.500512","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"251","0.121198","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"252","0.200007","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"253","0.178203","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"254","0.502665","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"255","0.119518","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"256","0.199662","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"257","0.179250","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"258","0.499624","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"259","0.121402","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
